,Country,Product,Flow,Date,value
299,Italy,Oil products,Total energy supply (PJ),2001,-389.4704004
300,Italy,Natural gas,Total energy supply (PJ),2001,2432.497498
301,Italy,Nuclear,Total energy supply (PJ),2001,0
302,Italy,Renewables and waste,Total energy supply (PJ),2001,445.2443835
303,Italy,Electricity,Total energy supply (PJ),2001,174.1572017
304,Italy,Heat,Total energy supply (PJ),2001,0
305,Italy,Total,Total energy supply (PJ),2001,7206.04523
306,Latvia,"Coal, peat and oil shale",Total energy supply (PJ),2001,5.150689283
307,Latvia,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,0.8657004492
308,Latvia,Oil products,Total energy supply (PJ),2001,51.68620091
309,Latvia,Natural gas,Total energy supply (PJ),2001,53.16119799
310,Latvia,Nuclear,Total energy supply (PJ),2001,0
311,Latvia,Renewables and waste,Total energy supply (PJ),2001,54.51660332
312,Latvia,Electricity,Total energy supply (PJ),2001,6.778801825
313,Latvia,Heat,Total energy supply (PJ),2001,0
314,Latvia,Total,Total energy supply (PJ),2001,172.1591896
315,Lithuania,"Coal, peat and oil shale",Total energy supply (PJ),2001,3.485598923
316,Lithuania,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,294.2033503
317,Lithuania,Oil products,Total energy supply (PJ),2001,-187.490799
318,Lithuania,Natural gas,Total energy supply (PJ),2001,89.85329999
319,Lithuania,Nuclear,Total energy supply (PJ),2001,126.1610914
320,Lithuania,Renewables and waste,Total energy supply (PJ),2001,30.57560169
321,Lithuania,Electricity,Total energy supply (PJ),2001,-14.27039798
322,Lithuania,Heat,Total energy supply (PJ),2001,4.53900199
323,Lithuania,Total,Total energy supply (PJ),2001,347.0567515
324,Luxembourg,"Coal, peat and oil shale",Total energy supply (PJ),2001,4.94387811
325,Luxembourg,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,0
326,Luxembourg,Oil products,Total energy supply (PJ),2001,89.28714414
327,Luxembourg,Natural gas,Total energy supply (PJ),2001,31.24620144
328,Luxembourg,Nuclear,Total energy supply (PJ),2001,0
329,Luxembourg,Renewables and waste,Total energy supply (PJ),2001,3.018661866
330,Luxembourg,Electricity,Total energy supply (PJ),2001,19.13926956
331,Luxembourg,Heat,Total energy supply (PJ),2001,0
332,Luxembourg,Total,Total energy supply (PJ),2001,147.6351468
333,Netherlands,"Coal, peat and oil shale",Total energy supply (PJ),2001,346.4102049
334,Netherlands,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,2645.062582
335,Netherlands,Oil products,Total energy supply (PJ),2001,-1470.061835
336,Netherlands,Natural gas,Total energy supply (PJ),2001,1501.9002
337,Netherlands,Nuclear,Total energy supply (PJ),2001,43.37454462
338,Netherlands,Renewables and waste,Total energy supply (PJ),2001,84.57883215
339,Netherlands,Electricity,Total energy supply (PJ),2001,62.21879969
340,Netherlands,Heat,Total energy supply (PJ),2001,0
341,Netherlands,Total,Total energy supply (PJ),2001,3213.483321
342,Poland,"Coal, peat and oil shale",Total energy supply (PJ),2001,2334.981517
343,Poland,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,789.771617
344,Poland,Oil products,Total energy supply (PJ),2001,34.62280122
